"w1","w2","freq"
"last","year",83
"right","now",82
"new","york",81
"last","week",77
"years","ago",73
"high","school",60
"dont","know",59
"first","time",57
"make","sure",56
"even","though",52
"feel","like",52
"can","get",51
"said","“",45
"two","years",43
"last","night",42
"im","going",41
"can","make",39
"cant","wait",39
"every","day",38
"st","louis",38
"new","jersey",37
"can","see",36
"one","day",36
"next","week",35
"united","states",33
"los","angeles",32
"dont","want",31
"look","like",31
"looking","forward",31
"many","people",31
"looks","like",30
"dont","think",29
"im","sure",29
"don’t","know",28
"go","back",28
"next","year",28
"one","thing",28
"three","years",27
"long","time",26
"health","care",25
"little","bit",25
"social","media",25
"good","luck",24
"pretty","much",24
"san","francisco",23
"weeks","ago",23
"will","get",23
"-","pm",22
"come","back",22
"last","month",22
"now","im",22
"-","-",21
"happy","birthday",21
"just","one",21
"will","take",21
"dont","forget",20
"dont","get",20
"every","time",20
"get","back",20
"just","like",20
"least","one",20
"let","know",20
"will","make",20
"year","old",20
"can","also",19
"felt","like",19
"just","got",19
"much","fun",19
"officials","said",19
"thanks","follow",19
"two","weeks",19
"can","find",18
"going","back",18
"good","morning",18
"just","want",18
"mothers","day",18
"san","diego",18
"things","like",18
"will","go",18
"years","old",18
"don’t","want",17
"executive","director",17
"feels","like",17
"good","thing",17
"last","time",17
"let","us",17
"look","forward",17
"looked","like",17
"one","another",17
"pretty","good",17
"will","never",17
"barack","obama",16
"family","friends",16
"friday","night",16
"just","two",16
"last","years",16
"three","months",16
"wall","street",16
"will","come",16
"’m","sure",15
"cant","believe",15
"didnt","get",15
"don’t","think",15
"follow","back",15
"got","home",15
"law","enforcement",15
"like","one",15
"many","times",15
"social","security",15
"vice","president",15
"will","always",15
"youre","going",15
"can","go",14
"can","tell",14
"cant","get",14
"city","council",14
"everyone","else",14
"find","way",14
"first","three",14
"going","get",14
"havent","seen",14
"im","still",14
"ive","got",14
"just","finished",14
"las","vegas",14
"one","two",14
"really","dont",14
"said","will",14
"sounds","like",14
"supreme","court",14
"two","days",14
"way","back",14
"white","house",14
"will","also",14
"will","need",14
"years","later",14
"can","help",13
"first","day",13
"get","better",13
"get","ready",13
"great","day",13
"hard","work",13
"im","gonna",13
"im","just",13
"last","season",13
"many","years",13
"much","better",13
"much","time",13
"one","can",13
"one","favorite",13
"people","like",13
"pretty","sure",13
"real","estate",13
"really","good",13
"really","like",13
"really","really",13
"san","jose",13
"something","like",13
"stay","tuned",13
"th","century",13
"time","go",13
"want","see",13
"world","war",13
"along","way",12
"anyone","else",12
"can","use",12
"early","morning",12
"end","day",12
"ever","since",12
"first","place",12
"first","round",12
"five","years",12
"four","years",12
"go","see",12
"hope","see",12
"im","excited",12
"job","hate",12
"know","can",12
"lot","people",12
"months","ago",12
"next","day",12
"next","time",12
"now","just",12
"one","best",12
"one","time",12
"police","said",12
"thanks","following",12
"think","im",12
"wait","see",12
"want","know",12
"whole","lot",12
"will","find",12
"will","help",12
"will","see",12
"anything","else",11
"back","home",11
"black","white",11
"chief","executive",11
"credit","card",11
"dont","feel",11
"general","manager",11
"getting","ready",11
"great","deal",11
"hate","job",11
"human","rights",11
"im","happy",11
"im","really",11
"join","us",11
"just","get",11
"just","wanted",11
"kansas","city",11
"late","s",11
"let","go",11
"like","im",11
"lot","time",11
"much","like",11
"new","years",11
"nothing","else",11
"one","year",11
"president","barack",11
