"w1","w2","w3","w4","freq"
"hate","job","hate","job",10
"job","hate","job","hate",10
"r","r","r","r",4
"basics","-","pm","may",3
"calories","g","protein","g",3
"carbohydrate","g","fat","g",3
"fat","g","saturated","mg",3
"g","carbohydrate","g","fat",3
"g","fat","g","saturated",3
"g","protein","g","carbohydrate",3
"g","saturated","mg","cholesterol",3
"like","like","like","like",3
"mg","cholesterol","mg","sodium",3
"new","york","stock","exchange",3
"protein","g","carbohydrate","g",3
"saturated","mg","cholesterol","mg",3
"thanks","follow","look","forward",3
"without","jesus","without","jesus",3
"--","prices","vary","reservations",2
"-","patrik","berglund","-",2
"-","summer","one","first",2
"-","team","better","equipped",2
"-bats","bouncing","double","play",2
"—","makes","difficult","concentrate",2
"—","really","substantially","worrying",2
"—","without","warrant","states",2
"’m","first","person","sit",2
"’m","mommy","damn","need",2
"’s","hardly","going","come",2
"’s","last-act","action","sequence",2
"’s","one","thing","ask",2
"’s","phone","bringing","protest",2
"“","foreigners","bind","lord",2
"¤","place","success","comes",2
"½","hours","time","director",2
"abridged","version","book","clocking",2
"accounts","believe","police","required",2
"actors","taught","art","two",2
"acuity","every","neuron","brain",2
"admired","hiked","drove","photographed",2
"advice","drugs","bad","opinion",2
"affect","eyes","reddening","drying",2
"agencies","nonprofits","established","states",2
"ago","leaders","fort","campbell",2
"airborne","division","felt","compelled",2
"al","yankovic","show","may",2
"along","david","backes","-",2
"already","frustrating","day","diamondbacks",2
"also","consider","bringing","throwaway",2
"also","offer","phone","-person",2
"alternate","phone","protest","contain",2
"annual","meeting","registration","information",2
"anybody","know","age","chrome",2
"arizona","monkeyed","spread","passing",2
"arm","keep","going","please",2
"armstrong","said","along","david",2
"arnott","-","summer","one",2
"arrest","—","without","warrant",2
"art","fellowship","studying","jewish",2
"art","nouveau","violin","case",2
"art","two","years","jewish",2
"artists","musicians","actors","taught",2
"ask","donation","ask","farmland",2
"ask","farmland","crops","iras",2
"assembly","speaker","sheila","oliver",2
"asserts","right","search","phone",2
"att","minimum","critical","damage",2
"attack","built","strong","running",2
"available","upon","request","complete",2
"backes","-","patrik","berglund",2
"base","three-day","suicide","stand",2
"battle","san","jose","anaheim",2
"begin","offer","advice","drugs",2
"believe","police","required","get",2
"beneath","half","hotel","rooms",2
"benefits","new","product","especially",2
"berberich","dont","intend","nothing",2
"berglund","-","team","better",2
"better","equipped","battle","san",2
"billion","shares","compared","billion",2
"birthday","may","wishes","come",2
"blueberry","hills","duck","room",2
"blues","signed","free-agent","center",2
"board","cant","majority","representing",2
"book","clocking","½","hours",2
"bouncing","double","play","end",2
"bow","head","shame","listen",2
"brain","screams","’m","mommy",2
"bringing","protest","phone","contains",2
"bringing","throwaway","alternate","phone",2
"brokers","exchanges","required","create",2
"brought","back","many","memories",2
"browse","buy","plans","also",2
"browsing","history","passwords","contents",2
"built","strong","running","game",2
"buy","plans","also","offer",2
"buys","airtime","ad","space",2
"cacophony","sounds","little","opportunity",2
"california","courts","said","ok",2
"called","text","messages","photos",2
"came","billion","shares","compared",2
"camp","eating","computer-aided","design",2
"campbell","home","famed","st",2
"can","affect","eyes","reddening",2
"can","help","one","another",2
"can","include","list","contacts",2
"can","produce","fertile","offspring",2
"cant","majority","representing","health-insurance",2
"cant","see","’m","busy",2
"cant","wait","till","april",2
"carefully","’s","phone","bringing",2
"cashiers","nc","gazed","waterfalls",2
"catcher","struck","seven","pitches",2
