"w1","w2","w3","freq"
"two","years","ago",16
"hate","job","hate",11
"job","hate","job",10
"president","barack","obama",10
"two","weeks","ago",9
"cant","wait","see",8
"happy","mothers","day",8
"dont","feel","like",7
"new","york","city",7
"new","york","times",7
"three","years","ago",7
"banner","lois","prahlow",6
"gov","chris","christie",6
"-","pm","may",5
"’m","pretty","sure",5
"cant","wait","till",5
"im","pretty","sure",5
"let","us","know",5
"major","league","baseball",5
"r","r","r",5
"-","pm","april",4
"”","said","“",4
"affordable","care","act",4
"city","council","meeting",4
"court","records","show",4
"dont","get","wrong",4
"east","st","louis",4
"feel","like","im",4
"first","three","months",4
"first","time","since",4
"go","go","go",4
"greater","cleveland","partnership",4
"green","bay","packers",4
"hope","see","soon",4
"im","going","try",4
"just","finished","reading",4
"like","like","like",4
"looked","like","going",4
"los","angeles","county",4
"many","years","ago",4
"martin","luther","king",4
"new","york","stock",4
"one","first","things",4
"one","way","another",4
"really","dont","know",4
"several","years","ago",4
"sometimes","feel","like",4
"want","make","sure",4
"world","war","ii",4
"-","-","-",3
"’s","one","thing",3
"’s","something","said",3
"according","court","records",3
"almost","every","day",3
"basics","-","pm",3
"boston","red","sox",3
"calories","g","protein",3
"can","make","difference",3
"cant","get","enough",3
"carbohydrate","g","fat",3
"chief","executive","officer",3
"chief","financial","officer",3
"chief","operating","officer",3
"cholesterol","mg","sodium",3
"day","valentines","day",3
"details","can","found",3
"didn’t","take","long",3
"digital","music","player",3
"digs","service","points",3
"doesn’t","really","matter",3
"domestic","parts","content",3
"dont","know","anyone",3
"dont","think","can",3
"dream","come","true",3
"dreams","come","true",3
"effect","interstate","commerce",3
"every","time","go",3
"fat","g","saturated",3
"feel","pretty","good",3
"first","time","ever",3
"first","time","saw",3
"first","two","games",3
"follow","look","forward",3
"forest","city","ratner",3
"formula","picks","best",3
"g","carbohydrate","g",3
"g","fat","g",3
"g","protein","g",3
"g","saturated","mg",3
"game","eastern","conference",3
"george","w","bush",3
"great","day","everyone",3
"great","way","start",3
"guess","ill","go",3
"happy","new","year",3
"high","school","college",3
"high","school","student",3
"high","school","students",3
"hope","everyone","great",3
"internal","revenue","service",3
"isnt","whole","lot",3
"jesus","without","jesus",3
"just","want","see",3
"k-","distance","education",3
"la","la","la",3
"last","year","said",3
"like","good","idea",3
"like","im","going",3
"long","long","time",3
"long","way","go",3
"looking","forward","seeing",3
