"word1","freq"
"said",1428
"will",1333
"one",1300
"just",1161
"can",1057
"like",1045
"time",891
"get",863
"new",772
"now",688
"day",655
"im",641
"people",639
"good",628
"us",621
"also",614
"back",605
"first",593
"make",590
"two",590
"know",579
"go",551
"well",540
"see",533
"going",530
"think",520
"last",516
"year",507
"even",500
"’s",494
"much",488
"dont",485
"really",467
"love",466
"still",456
"years",446
"way",442
"work",438
"great",429
"little",428
"many",422
"want",416
"got",406
"-",405
"“",404
"take",399
"life",391
"may",391
"right",387
"things",386
"made",382
"say",381
"home",365
"need",354
"today",354
"come",353
"week",334
"around",326
"three",319
"school",314
"next",313
"never",311
"something",308
"another",304
"best",302
"state",300
"world",294
"always",286
"—",281
"every",281
"look",276
"night",273
"big",270
"since",268
"better",267
"game",262
"thats",262
"help",261
"long",259
"use",259
"man",257
"cant",253
"house",252
"sure",250
"team",250
"thing",248
"thanks",244
"says",243
"–",242
"lot",242
"place",242
"end",240
"put",239
"find",236
"family",235
"part",235
"feel",234
"show",234
"city",233
"days",232
"though",232
"getting",221
"found",219
"give",218
"happy",217
"u",217
"used",217
"set",216
"didnt",214
"might",213
"without",210
"keep",209
"god",208
"away",205
"money",205
"old",195
"season",194
"high",193
"looking",193
"pm",191
"came",189
"rt",189
"thought",189
"let",187
"ever",186
"left",186
"th",186
"ive",185
"don’t",184
"least",184
"nothing",184
"start",184
"times",184
"makes",183
"book",182
"percent",179
"’m",178
"hope",178
"went",176
"police",175
"youre",174
"already",173
"enough",173
"small",171
"different",170
"pretty",170
"told",170
"friends",169
"top",168
"fun",166
"play",166
"st",166
"story",166
"working",166
"tell",165
"business",164
"hard",164
"children",163
"head",163
"morning",163
"must",162
"point",162
"ago",161
"lol",161
"second",161
"started",161
"white",161
"million",160
"believe",159
"everyone",159
"hes",159
"took",159
"kids",158
"free",157
"live",157
"real",157
"someone",156
"four",154
"job",153
"public",153
"room",153
"actually",151
"yet",151
"done",149
"everything",149
"making",149
"open",149
"called",148
"try",148
"kind",147
"early",146
"please",146
"s",146
"water",145
"read",144
"county",142
"friday",142
"others",142
"ill",141
"past",141
"black",140
"yes",139
"care",138
"several",138
"bad",137
"change",137
"law",137
"office",137
"”",136
"anyone",136
"anything",136
"group",136
"music",136
"weekend",136
"bit",135
"trying",135
"doesnt",134
"post",133
"american",132
"far",132
"hours",132
"months",132
"name",132
"together",132
"wait",132
"weeks",132
"less",131
"national",131
"wanted",131
"along",130
"heart",130
"company",129
"saw",129
"center",128
"follow",128
"friend",128
"including",128
"run",128
"course",127
"else",127
"later",127
"number",127
"probably",127
"using",127
"win",127
"food",126
"side",125
"’ve",124
"however",124
"maybe",124
"remember",124
"case",123
"full",122
"month",122
"able",121
"call",121
"whether",121
"coming",120
"oh",120
"president",120
"girl",119
"instead",119
"mean",119
"tonight",119
"often",118
"ready",118
"states",118
"street",118
"thank",118
"watch",118
"fact",117
"hand",117
"idea",117
"plan",117
"become",116
"face",116
"minutes",116
"program",116
"soon",116
"stop",116
"party",115
"pay",115
"person",115
"seen",115
"talk",115
"whole",115
"almost",114
"behind",114
"sometimes",114
"half",113
"local",113
"project",113
"share",113
"area",112
"blog",112
"health",112
"taking",112
"asked",111
"nice",111
"class",110
"five",110
"students",110
"country",109
"light",109
"news",109
"across",108
"market",108
"young",108
"ask",107
"comes",107
"either",107
"guys",107
"list",107
"move",107
"favorite",106
"knew",106
"lost",106
"support",106
"true",106
"building",105
"forward",105
"games",105
"system",105
"talking",105
"buy",104
"late",104
"social",104
"stay",104
"couple",103
"final",103
"playing",103
"saying",103
"sunday",103
"bill",102
"close",102
"cut",102
"needs",102
"perfect",102
"tomorrow",102
"art",101
"former",101
"given",101
"hit",101
"line",101
"monday",101
"outside",101
"red",101
"women",101
"car",100
"community",100
"film",100
"front",100
"park",100
"write",100
"government",99
"isnt",99
"leave",99
"rather",99
"song",99
"woman",99
"according",98
"running",98
"saturday",98
"special",98
"’re",97
"april",97
"experience",97
"information",97
"sense",97
"decided",96
"didn’t",96
"south",96
"theres",96
"university",96
"bring",95
"cool",95
"important",95
"members",95
"power",95
"rest",95
"wrong",95
"future",94
"green",94
"hear",94
"means",94
"men",94
"stuff",94
"writing",94
"among",93
"deal",93
"especially",93
"felt",93
"john",93
"parents",93
"amazing",92
"check",92
"college",92
"heard",92
"id",92
"large",92
"mind",92
"reason",92
"whats",92
"’ll",91
"history",91
"looked",91
"watching",91
"add",90
"eat",90
"event",90
"fire",90
"personal",90
"series",90
"mother",89
"order",89
"service",89
"starting",89
"summer",89
"create",88
"director",88
"easy",88
"mr",88
"recently",88
"wont",88
"baby",87
"chance",87
"hey",87
"available",86
"books",86
"court",86
"field",86
"lets",86
"matter",86
"miss",86
"phone",86
"media",85
"problem",85
"questions",85
"taken",85
"wants",85
"happened",84
"moment",84
"needed",84
"spent",84
"thinking",84
"cost",83
"department",83
"following",83
"lead",83
"movie",83
"possible",83
"quite",83
"within",83
"’d",82
"although",82
"beautiful",82
"gets",82
"march",82
